화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
돌섬호납집 개방화장실,Y,0,연중무휴,시흥시청,2,0,,,0,개방화장실,1,126.6876866,0,경기도 시흥시 오이도로 183,0,0,37.34464039,0,,2018-08-20
뱃고동 개방화장실,Y,0,연중무휴,시흥시청,2,0,,,0,개방화장실,2,126.6871821,0,경기도 시흥시 오이도로 197-1,0,0,37.34329112,0,,2018-08-20
오이도함상전망대,N,0,연중무휴,시흥시청,2,0,,,4,공중화장실,2,126.6880377,0,경기도 시흥시 오이도로 240,0,0,37.34052903,0,,2018-08-20
갯벌횟집 개방화장실,N,0,연중무휴,시흥시청,1,0,,,1,개방화장실,1,126.6884964,0,경기도 시흥시 오이도로 241,0,0,37.3409339,0,,2018-08-20
맛자랑 개방화장실,N,0,연중무휴,시흥시청,1,0,,,1,개방화장실,1,126.6897707,0,경기도 시흥시 오이도로 253,0,0,37.34062369,0,,2018-08-20
시화시외버스터미널,N,0,06:00~11:00,시흥시청,3,0,,,3,공중화장실,3,126.7358155,0,경기도 시흥시 옥구공원로 225,0,0,37.34261321,0,,2018-08-20
효창기름나라주유소,N,0,06:00~23:00,시흥시청,1,0,,,1,공중화장실,1,126.7459708,0,경기도 시흥시 옥구공원로 339,0,0,37.33634627,0,,2018-08-20
파워디젤주유소,N,0,06:00~23:00,시흥시청,2,0,,,1,공중화장실,2,126.7224496,0,경기도 시흥시 옥구공원로 75,0,0,37.3510883,0,,2018-08-20
로얄타운 개방화장실,N,0,연중무휴,시흥시청,2,0,,,3,공중화장실,2,126.7240013,0,경기도 시흥시 옥구상가2길 4,0,0,37.35391394,0,,2018-08-20
월드아파트상가 개방화장실,N,0,연중무휴,시흥시청,2,0,,,3,개방화장실,3,126.7302306,0,경기도 시흥시 옥구천동로 402,0,0,37.35675032,0,,2018-08-20
시화병원,N,0,연중무휴,시흥시청,3,0,,,3,공중화장실,2,126.7245602,0,경기도 시흥시 옥구천서로 337,0,0,37.35292051,0,,2018-08-20
갯골캠핑장 관리동,N,0,(평일)09:00~18:00,시흥시청,2,0,,,4,공중화장실,3,126.7620529,0,경기도 시흥시 월곶동 520-240,0,0,37.38936358,0,,2018-08-20
월곶동주민센터,N,0,(평일)09:00~18:00,시흥시청,2,0,,,2,공중화장실,3,126.7395067,0,경기도 시흥시 월곶중앙로 54,0,0,37.38871058,0,,2018-08-20
센타프라자 개방화장실,N,0,연중무휴,시흥시청,2,0,,,3,개방화장실,3,126.7373016,0,경기도 시흥시 월곶중앙로 71,0,0,37.38896159,0,,2018-08-20
월곶역,N,0,05:30~00:20,시흥시청,6,0,,,17,공중화장실,7,126.7427076,0,경기도 시흥시 월곶중앙로14번길 56,0,0,37.3918135,0,,2018-08-20
월곶배드민턴장,N,0,08:00~22:00,시흥시청,1,0,,,1,공중화장실,1,126.7419377,0,경기도 시흥시 월곶중앙로14번길 64,0,0,37.39240289,0,,2018-08-20
월곶화신수산시장 개방화장실,N,0,10:00~23:00,시흥시청,1,0,,,1,개방화장실,5,126.7353549,0,경기도 시흥시 월곶해안로 133,0,0,37.38765258,0,,2018-08-20
주차장 공중화장실,N,0,연중무휴,시흥시청,4,0,,,8,공중화장실,6,126.7402792,0,경기도 시흥시 월곶해안로 188,0,0,37.38736435,0,,2018-08-20
해양경찰 공중화장실,N,0,연중무휴,시흥시청,3,0,,,5,공중화장실,3,126.7404287,0,경기도 시흥시 월곶해안로 213,0,0,37.38591945,0,,2018-08-20
소래철교 공중화장실,N,0,연중무휴,시흥시청,1,0,,,4,공중화장실,2,126.7395623,0,경기도 시흥시 월곶해안로 29,0,0,37.39484485,0,,2018-08-20
은행동우체국,N,0,(평일)09:00~18:00,시흥시청,1,0,,,1,공중화장실,1,126.7999172,0,경기도 시흥시 은행로 146,0,0,37.44408582,0,,2018-08-20
은행파출소,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7999302,0,경기도 시흥시 은행로 148,0,0,37.44429488,0,,2018-08-20
청소년수련관,N,0,(평일)09:00~18:00,시흥시청,22,0,,,22,공중화장실,21,126.796906,0,경기도 시흥시 은행로 179,0,0,37.4460449,0,,2018-08-20
경동프라자 개방화장실,N,0,연중무휴,시흥시청,3,0,,,3,개방화장실,3,126.7971413,0,경기도 시흥시 은행로 86,0,0,37.43926247,0,,2018-08-20
장곡체육센터,N,0,(평일)06:00~23:00+(주말)06:00~18:00,시흥시청,2,0,,,3,공중화장실,2,126.7829731,0,경기도 시흥시 인선길 52,0,0,37.37757881,0,,2018-08-20
장곡동주민센터,N,0,(평일)09:00~18:00,시흥시청,2,0,,,2,공중화장실,2,126.783441,0,경기도 시흥시 장곡로 50,0,0,37.37976375,0,,2018-08-20
장곡지구대,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.7812982,0,경기도 시흥시 장곡로54번길 25-14,0,0,37.38201236,0,,2018-08-20
연성동우체국,N,0,(평일)09:00~18:00,시흥시청,1,0,,,1,공중화장실,1,126.7814604,0,경기도 시흥시 장곡로54번길 42,0,0,37.38217845,0,,2018-08-20
능곡파출소,N,0,연중무휴,시흥시청,1,0,,,1,공중화장실,1,126.8137948,0,경기도 시흥시 장현능곡로 211,0,0,37.36901396,0,,2018-08-20
한성타운 개방화장실,N,0,연중무휴,시흥시청,3,0,,,2,개방화장실,4,126.7344125,0,경기도 시흥시 정왕대로 184,0,0,37.34747922,0,,2018-08-20
