화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
지평119지역대,N,0,07:00~22:00,지평119지역대,0,0,,,1,공중화장실,0,127.6393103,0,경기도 양평군 지평면 지평의병로116번길 1,0,0,37.47452598,0,,2018-08-01
지평고등학교,N,0,08:00~18:00,지평고등학교,17,0,,경기도 양평군 지평면 지평리553번지,24,공중화장실,12,127.6345572,0,경기도 양평군 지평면 지평로 418,0,0,37.47447231,8,,2018-08-01
지평레포츠공원,N,0,07:00~22:00,지평면,1,0,,,2,공중화장실,1,127.6329971,0,경기도 양평군 지평면 송정길 130,0,0,37.49001022,0,,2018-08-01
지평면사무소,N,0,07:00~22:00,지평면,2,0,,,2,공중화장실,3,127.6393103,0,경기도 양평군 지평면 지평의병로116번길 1,0,0,37.47452598,0,,2018-08-01
지평면종합복지관,N,0,연중무휴,지평면,1,0,,,2,공중화장실,1,127.6392829,0,경기도 양평군 지평면 지평의병로116번길 1-1,0,0,37.47397111,0,,2018-08-01
지평보건지소,N,0,연중무휴,양평군 보건소,2,0,,,2,공중화장실,2,127.638346,0,경기도 양평군 지평면 지평의병로116번길 7-1,0,0,37.47387166,0,,2018-08-01
지평시장,N,0,09:00~18:00,지평면,2,0,,,4,공중화장실,3,127.6380923,0,경기도 양평군 지평면 지평의병로116번길 11,0,0,37.47381537,0,,2018-08-01
지평역,N,0,연중무휴,철도청,2,0,,,3,공중화장실,2,127.6300422,0,경기도 양평군 지평면 지평역길 32,0,0,37.47637415,0,,2018-08-01
지평우체국,N,0,09:00~18:00,지평우체국,1,0,,,1,공중화장실,1,127.6356869,0,경기도 양평군 지평면 지평의병로 87,0,0,37.47545013,0,Jan-86,2018-08-01
지평의병 지평리전투기념관,N,0,09:00~18:00,지평면,1,0,,,1,공중화장실,2,127.6373334,0,경기도 양평군 지평면 지평로 357,0,0,37.47869205,1,,2018-08-01
