화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
설악면사무소,N,0,09:00~21:00,설악면사무소,4,0,,경기도 가평군 설악면 신천리 156-1번지,4,공중화장실,2,127.4945552,0,경기도 가평군 설악면 한서로 8,0,0,37.6758932,0,,2018-08-07
한석봉 체육관,N,1,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 가평읍 대곡리 318번지,6,공중화장실,4,127.5069086,0,경기도 가평군 가평읍 문화로 153,0,0,37.82615485,0,,2018-08-07
한석봉 체육관,N,1,09:00~21:00,가평군 시설관리공단,3,0,,경기도 가평군 가평읍 대곡리 318번지,6,공중화장실,4,127.5069086,0,경기도 가평군 가평읍 문화로 153,0,0,37.82615485,0,,2018-08-07
한석봉 체육관,N,1,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 가평읍 대곡리 318번지,6,공중화장실,4,127.5069086,0,경기도 가평군 가평읍 문화로 153,0,0,37.82615485,0,,2018-08-07
한석봉 체육관,N,1,09:00~21:00,가평군 시설관리공단,3,0,,경기도 가평군 가평읍 대곡리 318번지,6,공중화장실,4,127.5069086,0,경기도 가평군 가평읍 문화로 153,0,0,37.82615485,0,,2018-08-07
가평우체국,N,1,09:00~21:00,가평우체국,2,0,,경기도 가평군 가평읍 읍내리 495-6번지,2,공중화장실,3,127.5107466,0,경기도 가평군 가평읍 보납로 2,0,0,37.83095836,0,,2018-08-07
자라목 체육공원,N,0,09:00~21:00,가평읍사무소,2,0,,경기도 가평군 가평읍 읍내리 300-1번지,4,공중화장실,2,127.5189351,0,경기도 가평군 가평읍 보납로74번길 8-1,0,0,37.8307606,0,,2018-08-07
한국토지정보공사 가평지사,N,0,09:00~21:00,건물 1층,1,0,,경기도 가평군 가평읍 읍내리 487-5번지,1,공중화장실,1,127.5112676,0,경기도 가평군 가평읍 석봉로 158,0,0,37.82909118,0,,2018-08-07
조종국민체육센타,N,0,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 조종면 현리 420-12번지,2,공중화장실,4,127.3523171,0,경기도 가평군 조종면 조종희망로26번길 16,0,0,37.81786767,0,,2018-08-07
조종국민체육센타,N,0,09:00~21:00,가평군 시설관리공단,2,0,,경기도 가평군 조종면 현리 420-12번지,2,공중화장실,4,127.3523171,0,경기도 가평군 조종면 조종희망로26번길 16,0,0,37.81786767,0,,2018-08-07
대성주유소,N,0,09:00~21:00,대성주유소,1,0,,경기도 가평군 조종면 현리 477-100번지,2,개방화장실,1,127.3522626,0,경기도 가평군 조종면 청군로 1186,0,0,37.81111979,0,,2018-08-07
운악산 공중화장실,N,1,09:00~21:00,가평군 환경과,3,0,,경기도 가평군 조종면 운악리 459번지,4,공중화장실,3,127.349233,0,경기도 가평군 조종면 현등사길 11,0,0,37.86511288,1,,2018-08-07
운악산주차장 화장실,N,0,09:00~21:00,가평군 시설관리공단,1,0,,경기도 가평군 조종면 운악리 452-1번지,7,공중화장실,6,127.3481253,0,경기도 가평군 조종면 현등사길 7-48,0,0,37.86394492,0,,2018-08-07
조종면 우체국,N,1,09:00~21:00,조종면 우체국,1,0,,경기도 가평군 조종면 현리 410-8번지,1,공중화장실,1,127.3482605,0,경기도 가평군 조종면 현창로 31,0,0,37.81740213,0,,2018-08-07
조종면 종합복지회관,N,1,09:00~21:00,조종면사무소,2,0,,경기도 가평군 조종면 현리 293-4번지,4,공중화장실,4,127.3472048,0,경기도 가평군 조종면 현창로 62,0,0,37.81995488,1,,2018-08-07
안전유원지 공중화장실,N,1,09:00~21:00,가평군청 환경과,3,0,,경기도 가평군 청평면 청평리 134-58번지,4,개방화장실,2,127.4250588,0,경기도 가평군 청평면 강변로 113-18,0,0,37.73199464,1,,2018-08-07
청평하나주유소,N,0,09:00~21:00,청평하나주유소,2,0,,경기도 가평군 청평면 상천리 1136번지,4,개방화장실,3,127.4472836,0,경기도 가평군 청평면 경춘로 1232,0,0,37.76649134,0,,2018-08-07
에덴주유소,N,0,09:00~21:00,에덴주유소,2,0,,경기도 가평군 청평면 상천리 256-5번지,2,개방화장실,2,127.4644758,0,경기도 가평군 청평면 경춘로 1454,0,0,37.77899343,0,,2018-08-07
KD운송 대성리영업소,N,0,09:00~21:00,KD운송 대성리영업소,3,0,,경기도 가평군 청평면 대성리 614-6번지,3,공중화장실,4,127.3777876,0,경기도 가평군 청평면 경춘로 46,0,0,37.67999807,0,,2018-08-07
