화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
삼가주유소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,삼가주유소,1,0,,,1,공중화장실,2,128.1245,0,경상남도 합천군 삼가면 삼가로 347,0,0,35.41336,0,Jan-46,2018-02-21
삼가체육공원,N,1,연중무휴,합천군(삼가면),2,1,,,4,공중화장실,2,128.1212,0,경상남도 합천군 삼가면 용흥길 22-9,0,0,35.40909,1,Jan-10,2018-02-21
합천노인전문요양원화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천노인전문요양원,2,0,,,2,공중화장실,2,128.1172,0,경상남도 합천군 삼가면 삼가로 10-13,0,0,35.38398,1,Apr-08,2018-02-21
삼가파출소화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천경찰서,1,0,,,0,공중화장실,1,128.1212,0,경상남도 합천군 삼가면 삼가1로 73,0,0,35.41539,0,Mar-15,2018-02-21
삼가축협화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,삼가축협,0,0,,,0,공중화장실,2,128.1229,0,경상남도 합천군 삼가면 삼가중앙길 28,0,0,35.41431,0,Apr-97,2018-02-21
삼가주차장화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(삼가면),0,0,,,0,공중화장실,1,128.1216,0,경상남도 합천군 삼가면 삼가중앙2길 12-10,0,0,35.41553,1,Feb-08,2018-02-21
삼가우체국화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,삼가우체국,0,0,,,0,공중화장실,2,128.1205,0,경상남도 합천군 삼가면 삼가1로 67,0,0,35.41595,0,Jan-84,2018-02-21
삼가보건지소화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소(삼가보건지소),1,0,,,2,공중화장실,2,128.1475,0,경상남도 합천군 삼가면 동리길 29,0,0,35.41906,1,Dec-09,2018-02-21
삼가면사무소화장실,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(삼가면),2,1,,,2,공중화장실,2,128.1216,0,경상남도 합천군 삼가면 삼가중앙2길 12-8,0,0,35.41553,1,Apr-79,2018-02-21
삼가농협화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,삼가농협,0,0,,,0,공중화장실,2,128.1229,0,경상남도 합천군 삼가면 삼가중앙길 31,0,0,35.41518,0,Oct-81,2018-02-21
삼가119지역대화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천소방서,0,0,,,0,공중화장실,2,128.1199,0,경상남도 합천군 삼가면 삼가로 287,0,0,35.40958,0,Apr-05,2018-02-21
합천시외버스터미널,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천시외버스터미널,3,0,,,4,공중화장실,5,128.1629,0,경상남도 합천군 합천읍 대야로 883,0,0,35.56798,0,Jan-90,2018-02-21
초계시장 주차장 화장실,N,1,연중무휴,합천군(초계면),2,1,,,3,공중화장실,2,128.2676,0,경상남도 합천군 초계면 내동아막길 4,0,0,35.56103,1,Nov-15,2018-02-21
가야시장 주차장 화장실,N,0,연중무휴,합천군(환경위생과),1,1,,,2,공중화장실,2,128.1372,0,경상남도 합천군 가야면 황산3길 11-2,0,0,35.76215,0,Apr-14,2018-02-21
삼가시장화장실,N,0,연중무휴,합천군(환경위생과),2,0,,,4,공중화장실,5,128.1227,0,경상남도 합천군 삼가면 일부5길 2,0,1,35.41375,0,Jul-03,2018-02-21
초계시장화장실,N,0,연중무휴,합천군(환경위생과),3,0,,,3,공중화장실,4,128.2674,0,경상남도 합천군 초계면 내동3길 12-7,0,0,35.56016,0,Aug-97,2018-02-21
야로시장화장실,N,0,연중무휴,합천군(환경위생과),3,0,,,1,공중화장실,1,128.1685,0,경상남도 합천군 야로면 시장길 6-5,0,0,35.70735,0,Dec-95,2018-02-21
합천동부농협적중지소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천동부농협,2,0,,,2,공중화장실,4,128.2789,0,경상남도 합천군 적중면 적중로 91,0,0,35.54885,0,Jan-01,2018-02-21
적중지역아동센터,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,적중교회,1,0,,,1,공중화장실,0,128.2787,0,경상남도 합천군 적중면 중부1길 17,0,0,35.54728,0,Oct-07,2018-02-21
적중우체국,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,적중우체국,0,0,,,0,공중화장실,0,128.2781,0,경상남도 합천군 적중면 적중로 90,0,0,35.54927,1,Mar-08,2018-02-21
적중보건지소,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소(적중보건지소),1,0,,,2,공중화장실,2,128.28,0,경상남도 합천군 적중면 적중로 101-8,0,0,35.54895,1,Jan-14,2018-02-21
적중면사무소,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(적중면),1,0,,,3,공중화장실,4,128.2787,0,경상남도 합천군 적중면 적중로 98,0,0,35.54829,1,Sep-87,2018-02-21
적중교회노인재가복지센터,N,1,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,적중교회,2,0,,,3,공중화장실,2,128.2794,0,경상남도 합천군 적중면 중부2길 16,0,0,35.54717,1,Jun-07,2018-02-21
동부지구대적중분소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천경찰서,0,0,,,1,공중화장실,1,128.2783,0,경상남도 합천군 적중면 적중로 92,0,0,35.54923,0,Jan-01,2018-02-21
합천농협봉산지점화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천농협봉산지점,2,0,,,2,공중화장실,2,128.0418,0,경상남도 합천군 봉산면 서부로 4308,0,0,35.62605,0,Jan-14,2018-02-21
봉산보건지소화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,보건소(봉산보건지소),1,0,,,2,공중화장실,2,128.0423,0,경상남도 합천군 봉산면 김봉길17,0,0,35.6272,1,Jan-04,2018-02-21
봉산면사무실화장실,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천군(봉산면),1,0,,,2,공중화장실,2,128.0423,0,경상남도 합천군 봉산면 김봉길 17,0,0,35.6272,0,Jan-10,2018-02-21
봉산주유소 화장실,Y,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,봉산주유소,1,0,,,1,공중화장실,2,128.043,0,경상남도 합천군 봉산면 서부로 4352,0,0,35.62961,0,Jan-87,2018-02-21
해인사주차장화장실,N,0,연중무휴,합천군(환경위생과),2,0,,,6,공중화장실,5,128.0947,0,경상남도 합천군 가야면 가야산로 1742-17,0,0,35.79446,0,Jan-97,2018-02-21
가야파출소,N,0,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,합천경찰서,1,0,,,1,공중화장실,1,128.1386,0,경상남도 합천군 가야면 가야시장로 19,0,0,35.75734,0,Jan-98,2018-02-21
