화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
고로면사무소,N,0,연중무휴,고로면사무소,11,0,,경상북도 군위군 고로면 학성리 397-10,11,공중화장실,10,128.7947346,0,,0,0,36.12337053,0,,2018-08-23
아미산주차장,N,0,연중무휴,군위군 환경산림과,2,0,,경상북도 군위군 고로면 양지리 59-2,5,공중화장실,3,128.8374304,0,,0,0,36.16841809,0,,2018-08-23
신비의소나무,N,0,연중무휴,고로면사무소,1,0,,경상북도 군위군 고로면 학암리 843,3,공중화장실,2,128.8758351,0,,0,0,36.17619862,0,,2018-08-23
일연폭포주차장,N,0,연중무휴,고로면사무소,1,0,,경상북도 군위군 고로면 화북리 202-1,2,공중화장실,1,128.7886089,0,,0,0,36.11909373,0,,2018-08-23
인각사,N,0,연중무휴,고로면사무소,3,0,,경상북도 군위군 고로면 화북리612,4,공중화장실,3,128.7793531,0,,0,0,36.12785316,0,,2018-08-23
고로보건지소,N,0,연중무휴,고로보건지소,2,0,,경상북도 군위군 고로면 학성리 397-10,2,공중화장실,2,128.7947346,0,,0,0,36.12337053,0,,2018-08-23
일연공원,N,0,연중무휴,군위군 환경산림과,3,0,,경상북도 군위군 고로면 화북리 53,8,공중화장실,4,128.790384,0,,0,0,36.11921138,0,,2018-08-23
고로우체국,Y,0,(평일)09:00~18:00,고로우체국,1,0,,경상북도 군위군 고로면 화수리 78-4,1,공중화장실,1,128.7575473,0,,0,0,36.12745431,0,,2018-08-23
군위댐 사무소,N,0,(평일)09:00~18:00,군위댐 사무소,5,0,,경상북도 군위군 고로면 학성리 407 외 1,4,공중화장실,4,128.794025,0,,0,0,36.12205837,0,,2018-08-23
석산초등학교,N,0,(평일)09:00~18:00,석산초등학교,1,0,,경상북도 군위군 고로면 석산리 547-1,2,공중화장실,2,128.8551155,0,,2,1,36.1749285,0,,2018-08-23
화수주유소,N,0,(평일주말)09:00~21:00,화수주유소,1,0,,경상북도 군위군 고로면 화수리 939-1,1,공중화장실,1,128.7527171,0,,0,0,36.1270169,0,,2018-08-23
고로농협주유소,N,0,(평일주말)09:00~21:00,고로농협주유소,1,0,,경상북도 군위군 고로면 학성리 397,2,공중화장실,2,128.7946664,0,,0,0,36.12388696,0,,2018-08-23
