화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
새재도립공원(여궁휴게소),N,0,24시간,경상북도 문경시 새재관리사무소,1,0,054-550-8353,경상북도 문경시 문경읍 상초리 산 34,2,간이화장실,1,128.080362,0,경상북도 문경시 문경읍 새재로 1012-71,0,0,36.080362,0,,2018-02-19
감호시장(남)-1,N,0,09시~18시,김천시 생활환경과,1,0,054-420-6193,경상북도 김천시 감호동 105,2,공중화장실,3,128.129825,0,경상북도 김천시 감호동 105,0,0,36.120158,0,,2018-07-31
감호시장(북)-1,N,0,09시~18시,김천시 생활환경과,2,0,054-420-6193,경상북도 김천시 감호동 51,3,공중화장실,4,128.129906,0,경상북도 김천시 아랫장터5길 33-8,0,0,36.121255,0,,2018-07-31
장성반점옆,N,1,09시~18시,김천시 생활환경과,2,0,054-420-6193,경상북도 김천시 성내동 193-2,3,공중화장실,3,128.121863,0,경상북도 김천시 굴다리길 56,0,0,36.119784,1,Jan-73,2018-07-31
중앙시장(동)-1,N,0,09시~18시,김천시 생활환경과,1,0,054-420-6193,경상북도 김천시 모암동 143-77,3,공중화장실,3,128.126575,0,경상북도 김천시 모암동 143-77,0,0,36.119023,0,,2018-07-31
중앙시장(서)-1,N,0,09시~18시,김천시 생활환경과,1,0,054-420-6193,경상북도 김천시 모암동 152-49,3,공중화장실,3,128.12553,0,경상북도 김천시 자산로 55-2,0,0,36.11944,0,,2018-07-31
직지사주차장,N,1,09시~18시,김천시 생활환경과,5,0,054-420-6193,경상북도 김천시 대항면 향천리 328-1,10,공중화장실,7,128.017636,0,경상북도 김천시 대항면 직지로 182-12,0,0,36.116079,1,Jan-79,2018-07-31
토산품판매장,N,1,09시~18시,김천시 생활환경과,2,0,054-420-6193,경상북도 김천시 대항면 운수리 5-3,5,공중화장실,3,128.017144,0,경상북도 김천시 대항면 황악로 1441-21,0,0,36.114166,1,Jan-76,2018-07-31
황금시장,N,1,09시~18시,김천시 생활환경과,6,0,054-420-6193,경상북도 김천시 황금동 111-23,7,공중화장실,7,128.123893,0,경상북도 김천시 양금로 239-1,0,0,36.115787,1,,2018-07-31
