화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
인삼농협,Y,1,주,전라북도 진안인삼조합,3,0,,전라북도 진안군 진안읍 군하리285-14,3,개방화장실,3,127.422961,0,전라북도 진안군 진안읍 진무로 1021,0,0,35.787633,1,,2018-08-23
한국전력공사,Y,1,주,전라북도 진안한국전력공사,3,1,,전라북도 진안군 진안읍 군하리121-2,3,개방화장실,3,127.421649,0,전라북도 진안군 진안읍 대괭이길7-21,0,0,35.790754,1,,2018-08-23
동부병원 장례식장,Y,0,주야,전라북도 진안 동부병원,3,0,,전라북도 진안군 진안읍 단양리597-1,3,개방화장실,3,127.417184,0,전라북도 진안군 진안읍 마이산로 90-16,0,0,35.778956,0,,2018-08-23
중앙초등학교,Y,1,주,전라북도 진안교육청,3,0,,전라북도 진안군 진안읍 군상리222,3,개방화장실,4,127.435886,2,전라북도 진안군 진안읍 학천변길 37-6,2,3,35.795071,1,,2018-08-23
용담면사무소,Y,1,09:00~18:00,전라북도 진안군청,3,1,,전라북도 진안군 용담면 대송로 17,3,개방화장실,4,127.520232,0,전라북도 진안군 용담면 대송로 17,0,0,35.966768,1,,2018-08-23
용담면보건지소,Y,1,09:00~18:00,전라북도 진안군청,2,1,,전라북도 진안군 용담면 대송로 18,2,개방화장실,2,127.520532,0,전라북도 진안군 용담면 대송로 18,0,0,35.966771,1,,2018-08-23
용담체련공원,Y,1,00:00~24:00,전라북도 진안군청,3,0,,전라북도 진안군 용담면 송풍리 1182-3,3,공중화장실,2,127.523303,0,전라북도 진안군 용담면 송풍리 1182-3,0,0,35.952932,1,,2018-08-23
용담가족테마공원,Y,0,00:00~24:00,전라북도 진안군청,3,0,,전라북도 진안군 용담면 송풍리 1221-6,3,공중화장실,2,127.523303,0,전라북도 진안군 용담면 송풍리 1221-6,0,0,35.950569,0,,2018-08-23
월계공원묘지,Y,0,00:00~24:00,전라북도 진안군청,3,0,,전라북도 진안군 용담면 송풍리 1284-1,3,공중화장실,2,127.518634,0,전라북도 진안군 용담면 송풍리 1284-1,0,0,35.947061,0,,2018-08-23
감동천,Y,0,00:00~24:00,전라북도 진안군청,1,0,,전라북도 진안군 용담면 송풍리 119-4,1,간이화장실,1,127.535677,0,전라북도 진안군 용담면 송풍리 119-4,0,0,35.965546,0,,2018-08-23
태고정(위),Y,0,00:00~24:00,전라북도 진안군청,2,0,,전라북도 진안군 용담면 수천리 13-15,2,간이화장실,1,127.486182,0,전라북도 진안군 용담면 수천리 13-15,0,0,35.938687,0,,2018-08-23
