화장실명,남녀공용화장실여부,남성용-장애인용대변기수,개방시간,관리기관명,남성용-대변기수,남성용-장애인용소변기수,전화번호,소재지지번주소,여성용-대변기수,구분,남성용-소변기수,경도,여성용-어린이용대변기수,소재지도로명주소,남성용-어린이용대변기수,남성용-어린이용소변기수,위도,여성용-장애인용대변기수,설치년도,데이터기준일자
수미르공원,N,1,06:00-21:00,중구 청소과,1,0,051-600-4445,부산광역시 중구 중앙동5가17-15,2,공중화장실,3,129.0379012,0,부산광역시 중구 대교로 140 (중앙동5가),0,0,35.10257271,1,Jan-01,2018-08-09
복병산체육공원,N,0,24시간,중구 청소과,1,0,051-600-4445,부산광역시 중구 대청동1가6-4,2,공중화장실,2,129.033046,0,부산광역시 중구 샘길 10 (대청동1가),0,0,35.10612197,0,Jan-01,2018-08-09
유라리광장,N,1,06:00-20:00,중구 청소과,4,1,051-600-4445,부산광역시 중구 남포동1가 62-29,9,공중화장실,3,129.0351398,1,부산광역시 중구 용미길9번길 6-19 (남포동1가),1,1,35.09665334,1,Jan-16,2018-08-09
